
2024/07/14 (15:09:21) | ===> btop++ v.1.3.2
2024/07/14 (15:09:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/14 (15:09:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/07/14 (15:09:32) | ===> btop++ v.1.3.2
2024/07/14 (15:09:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/07/14 (15:09:32) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/12 (20:30:16) | ===> btop++ v.1.3.2
2024/08/12 (20:30:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/12 (20:30:16) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/17 (20:12:22) | ===> btop++ v.1.3.2
2024/08/17 (20:12:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/17 (20:12:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/18 (12:15:38) | ===> btop++ v.1.3.2
2024/08/18 (12:15:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/18 (12:15:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/18 (17:44:59) | ===> btop++ v.1.3.2
2024/08/18 (17:44:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/18 (17:44:59) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/18 (18:24:50) | ===> btop++ v.1.3.2
2024/08/18 (18:24:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/18 (18:24:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/18 (18:55:55) | ===> btop++ v.1.3.2
2024/08/18 (18:55:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/18 (18:55:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/18 (18:59:39) | ===> btop++ v.1.3.2
2024/08/18 (18:59:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/18 (18:59:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/18 (19:02:22) | ===> btop++ v.1.3.2
2024/08/18 (19:02:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/18 (19:02:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/22 (08:59:26) | ===> btop++ v.1.3.2
2024/08/22 (08:59:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/22 (08:59:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/22 (14:00:39) | ===> btop++ v.1.3.2
2024/08/22 (14:00:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/22 (14:00:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/22 (14:01:11) | ===> btop++ v.1.3.2
2024/08/22 (14:01:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/22 (14:01:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/24 (10:07:43) | ===> btop++ v.1.3.2
2024/08/24 (10:07:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/24 (10:07:43) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/27 (17:50:21) | ===> btop++ v.1.3.2
2024/08/27 (17:50:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
